("IC 4962","U","303.975","-71","324.00891969","-32.37946016","D","Pav","","","","","F, S, eE 160deg , vmbM","9999","");
("IC 4982","U","305.1","-71","323.92518973","-32.73885606","D","Pav","","","","","vF, bM","9999","");
("IC 5099","U","320.475","-71","321.88676665","-37.44459467","D","Pav","","","","","vF, S, lE 10deg","9999","");
("NGC 2031","OC","83.425","-70.98333333","281.72632617","-31.84263845","R","Men","","","","","glob. cl. , B, pL, R, gbM, rr","3600","");
("IC 4985","U","305.175","-70.98333333","323.93870779","-32.76615532","D","Pav","","","","","vF, bM","9999","");
("IC 5116","U","324.275","-70.98333333","321.13414213","-38.53078317","D","Ind","","","","","cF, S, R, stell N","9999","");
("NGC 2111","OC","86.175","-70.95","281.5495615","-30.95804551","R","Men","","","","","vF, S, R, gbM","3600","");
("NGC 2145","OC","88.625","-70.91666667","281.42973257","-30.16374327","R","Men","","","","","F, lE, r","3600","");
("IC 4972","Gx","304.425","-70.91666667","324.07349304","-32.53924211","C","Pav","","1","","","eF, vS, eE 15deg","6700","");
("NGC 4833","Gb","194.9","-70.88333333","303.60665054","-8.02227843","S","Mus","","13.5","7.4","","glob. cl. , B, L, R, g, vsbM, st 12","3080","");
("NGC 6876","Gx","304.575","-70.86666667","324.12061032","-32.59698628","S","Pav","","2.4","13","p","pB, S, R, eS* sf, 2nd of 4","6700","");
("NGC 6880","Gx","304.875","-70.86666667","324.09790851","-32.69344051","S","Pav","","2.1","","","F, S, R, r, vS* att, 4th of 4","6700","");
("NGC 362","Gb","15.8","-70.85","301.53755068","-46.24639378","S","Tuc","","12.9","6.6","","glob. cl. , vB, vL, vC, vmbM st 13-14","3080","");
("NGC 6877","Gx","304.65","-70.85","324.13440888","-32.62432649","S","Pav","","1.4","12.7","","vF, vS, R, 3rd of 4","6700","");
("IC 4981","Gx","304.925","-70.85","324.11348221","-32.71280134","C","Pav","","0.7","","","eF, eS, * nr","6700","");
("IC 5106","Gx","322.15","-70.83333333","321.74506269","-38.00592289","C","Pav","","1.3","","","F, S, R, bM","6700","");
("NGC 2010","OC","82.65","-70.81666667","281.58030855","-32.11966819","R","Men","","","","","F, cL, R, vglbM","3600","");
("NGC 1861","OC","77.525","-70.76666667","281.94214498","-33.77849647","R","Men","","","","","eF, pL, R, gvlbM","3600","");
("NGC 1987","Gb","81.8","-70.76666667","281.57923188","-32.40375231","R","Men","","","12","p","F, L, iR, 3 st p","3080","");
("NGC 6872","Gx","304.225","-70.76666667","324.26282312","-32.50287645","S","Pav","","4.7","11.6","","F, pS, lE, glbM, *9 p 10s .5, 1st of 4","6700","");
("IC 4970","Gx","304.225","-70.75","324.28224518","-32.50595649","S","Pav","","0.8","13.9","","bM, nr 6872","6700","");
("NGC 1833","C+N","76.075","-70.71666667","282.03620829","-34.25297878","R","Men","","","","","vF, pL, 1st of sev","3600","");
("NGC 1837","C+N","76.175","-70.7","282.00583917","-34.225795","R","Men","","","","","Cl, L, Ri, st sc","3600","");
("NGC 2171","Gx","89.65","-70.68333333","281.13853067","-29.84052442","R","Men","","","","","eF, L, R, glbM","6700","");
("NGC 2056","OC","84.125","-70.66666667","281.31820573","-31.66180369","R","Men","","","","","pB, R, bM, p of 2, *9 bet","3600","");
("NGC 2075","C+N","84.55","-70.66666667","281.29574585","-31.52240874","R","Men","","","","","B, R, bM, rr, f of 2","3600","");
("NGC 6808","Gx","295.975","-70.65","324.76535151","-29.81099804","S","Pav","","1.7","13","p","pB, E, biN, *8 f","6700","");
("IC 5091","U","319.425","-70.65","322.47519612","-37.29381899","D","Pav","","","","","eF, vS, R","9999","");
("IC 4971","U","304.25","-70.63333333","324.41643072","-32.53558251","D","Pav","","","","","eF, vS","9999","");
("IC 5093","U","319.7","-70.63333333","322.44343738","-37.38297917","D","Pav","","","","","eeF, vS, R, susp","9999","");
